artifact_id,relative_path,artifact_type,release_version,schema_version,evidence_role,role_definition,model_use_status,row_grain,primary_key_columns_json,primary_key_unique,primary_key_blank_rows,row_count,column_count,schema_sha256,artifact_sha256,artifact_sha256_status,source_ids_json,geographic_scope,temporal_scope,coordinate_or_geometry_fields_json,uncertainty_fields_json,exclusion_or_quality_fields_json,license_or_access_basis,schema_freeze_status,schema_change_policy,build_script,validation_artifact,limitations
coverage_gap_register,outputs/coverage_gap_register.csv,tabular_csv,v1.0-alpha.24,alpha24-schema-380363c525e3,metadata_governance,"Ontology, provenance, schema, source, access, limitation, or release-control metadata; not geological evidence.",metadata_only,One explicitly disclosed source-specific or project-wide coverage gap.,"[""gap_id""]",true,0,58,17,380363c525e34cba0c48a13803cc00de030b3cdb6c26d6bf420aca4819635672,71c26ccd0cc0dfa07678c319721ffc4c30197a0a588aba01d7920dbe549cf805,computed_from_release_artifact_bytes,[],India or stated source scope,Mixed; stated per row,[],[],"[""status""]","{""KHANAN_DERIVED"":""Release metadata derived from the versioned public artifacts; upstream source terms remain controlling.""}",frozen_for_v1.0-alpha.24,"Any breaking or semantic change requires a new release version, explicit dictionary and schema-hash update, validation, and documented migration note.",scripts/build_release_governance.py,outputs/release_governance_validation.json,A disclosed gap is not evidence that every unknown limitation has been discovered.
data_dictionary,outputs/data_dictionary.csv,tabular_csv,v1.0-alpha.24,alpha24-schema-d3199f2f05c9,metadata_governance,"Ontology, provenance, schema, source, access, limitation, or release-control metadata; not geological evidence.",metadata_only,One published CSV column definition.,"[""table"",""column""]",true,0,1928,6,d3199f2f05c96d572250fd918cc88453ee0e655e7ac4d570947cfc2667f65b6e,d2c8eea2b12701118c8ca20a30473f389646d220a9a11d03a6c2d79ee2f128a0,computed_from_release_artifact_bytes,[],Not spatial,Release snapshot,[],[],[],"{""KHANAN_DERIVED"":""Release metadata derived from the versioned public artifacts; upstream source terms remain controlling.""}",frozen_for_v1.0-alpha.24,"Any breaking or semantic change requires a new release version, explicit dictionary and schema-hash update, validation, and documented migration note.",scripts/build_release_governance.py,outputs/release_governance_validation.json,Definitions describe the current release schema and do not replace source documentation.
gsi_ogd_mineral_deposit_catalog_audit,outputs/gsi_ogd_mineral_deposit_catalog_audit.csv,tabular_csv,v1.0-alpha.24,alpha24-schema-dc489394bda0,metadata_governance,"Ontology, provenance, schema, source, access, limitation, or release-control metadata; not geological evidence.",metadata_only,One audited GSI/OGD mineral-deposit catalogue.,"[""catalog_record_id""]",true,0,8,40,dc489394bda09e6dd13b4ddaf76ac16d986cc8289654628b9558bf82eb037516,57a87c3fae38558f09f2f6c0aee87cdc0c0aa46a2d0ae4aa454a4690a5166aba,computed_from_release_artifact_bytes,"[""SRC_GSI_OGD_MINERAL_DEPOSIT_CATALOGS_2013""]",India; eight commodity catalogues,2013 catalogues; access snapshot 2026-09-10,[],"[""preview_coverage_pct"",""completeness_status""]","[""preview_access_status"",""source_file_http_status"",""source_file_access_status"",""completeness_status"",""limitations""]","{""SRC_GSI_OGD_MINERAL_DEPOSIT_CATALOGS_2013"":""Government Open Data License - India; https://www.data.gov.in/godl. Attribute the data provider and data.gov.in. Interactive workbook downloads require a purpose form and CAPTCHA.""}",frozen_for_v1.0-alpha.24,"Any breaking or semantic change requires a new release version, explicit dictionary and schema-hash update, validation, and documented migration note.",scripts/build_gsi_ogd_deposit_preview.py,outputs/gsi_ogd_mineral_deposit_preview_validation.json,Public previews expose only 78 of 381 reported catalogue rows.
india_earthchem_geochemical_observations,outputs/india_earthchem_geochemical_observations.csv,tabular_csv,v1.0-alpha.24,alpha24-schema-766dbbcf11b5,observed_source_evidence,"Source-reported observation, event, inventory, sample, catalogue row, or reviewed footprint; not automatically a model label or current-status fact.",context_only_excluded_from_v0.6,"One published sample, analytical scope, sequence, and parameter observation.","[""observation_id""]",true,0,1323,59,766dbbcf11b5bee92f72f746f75c648111192250e99ca8489121043876764fbc,2f014043611db8d037c48843637b93eb5fcedee904c5c925ce048c6e255cfadb,computed_from_release_artifact_bytes,[],Two western-Assam coordinate sites,Published 2026; source analytical campaigns,"[""latitude"",""longitude"",""h3_r6""]",[],"[""measurement_status"",""deposit_or_mine_status_verified"",""model_use_status"",""data_quality_flags_json""]","{""KHANAN_DERIVED"":""Release metadata derived from the versioned public artifacts; upstream source terms remain controlling.""}",frozen_for_v1.0-alpha.24,"Any breaking or semantic change requires a new release version, explicit dictionary and schema-hash update, validation, and documented migration note.",scripts/build_earthchem_geochemistry.py,outputs/earthchem_geochemical_validation.json,Targeted samples are not a systematic regional survey or discovery evidence.
india_earthchem_geochemical_samples,outputs/india_earthchem_geochemical_samples.csv,tabular_csv,v1.0-alpha.24,alpha24-schema-2c0f3cea17ed,observed_source_evidence,"Source-reported observation, event, inventory, sample, catalogue row, or reviewed footprint; not automatically a model label or current-status fact.",context_only_excluded_from_v0.6,One coordinate-bearing published EarthChem sample.,"[""record_id""]",true,0,13,68,2c0f3cea17edc4762fb05ebc422e4b4191ce6e51d948b22916d421de29f6f30c,7f9b89da53872ddd97edaaac1e3936076e5c659301005f30dfb1888000d32fd0,computed_from_release_artifact_bytes,[],Two western-Assam coordinate sites,Published 2026; source analytical campaigns,"[""latitude"",""longitude"",""h3_r6""]",[],"[""sampling_design_limitation"",""deposit_or_mine_status_verified"",""model_use_status"",""data_quality_flags_json""]","{""KHANAN_DERIVED"":""Release metadata derived from the versioned public artifacts; upstream source terms remain controlling.""}",frozen_for_v1.0-alpha.24,"Any breaking or semantic change requires a new release version, explicit dictionary and schema-hash update, validation, and documented migration note.",scripts/build_earthchem_geochemistry.py,outputs/earthchem_geochemical_validation.json,"Thirteen targeted samples cannot establish regional continuity, resources, or economic viability."
india_emag2v3_magnetic_features_h3_r6,outputs/india_emag2v3_magnetic_features_h3_r6.csv,tabular_csv,v1.0-alpha.24,alpha24-schema-24b6174b0052,contextual_feature,Derived spatial or environmental context excluded from production scoring unless a separate admission test passes.,excluded_after_spatial_ablation,One India H3 resolution-6 cell.,"[""h3_r6""]",true,0,88857,32,24b6174b0052fe7887c94b380f95c26c2ba5fc63dfa30a4689e1a344d5db7a9c,0762058ad9c4fe5041d811a0e58fcfd40699fe92e6a148f3b256214ec29cad7b,computed_from_release_artifact_bytes,[],National H3 grid,Static EMAG2v3 source snapshot,"[""h3_r6"",""latitude"",""longitude"",""emag2_anomaly_percentile_india_h3"",""emag2_anomaly_robust_z_india_h3"",""emag2_abs_robust_z_india_h3"",""emag2_source_grid_longitude"",""emag2_source_grid_latitude""]","[""emag2_upcont_local_std_nt_3x3"",""emag2_error_estimate_nt"",""emag2_error_raw_value"",""emag2_abs_signal_to_error_ratio"",""emag2_uncertainty_interpretation""]","[""emag2_uncertainty_interpretation"",""emag2_model_use_status"",""emag2_data_quality_flags_json""]","{""KHANAN_DERIVED"":""Release metadata derived from the versioned public artifacts; upstream source terms remain controlling.""}",frozen_for_v1.0-alpha.24,"Any breaking or semantic change requires a new release version, explicit dictionary and schema-hash update, validation, and documented migration note.",scripts/build_emag2_features.py,outputs/emag2v3_magnetic_features_validation.json,Four-kilometre upward-continued anomaly is broad context and has source gaps.
india_gsi_ogd_mineral_deposit_preview,outputs/india_gsi_ogd_mineral_deposit_preview.csv,tabular_csv,v1.0-alpha.24,alpha24-schema-d982a47bb969,observed_source_evidence,"Source-reported observation, event, inventory, sample, catalogue row, or reviewed footprint; not automatically a model label or current-status fact.",excluded_from_training_validation_and_scoring,One row exposed by a public GSI/OGD preview endpoint.,"[""record_id""]",true,0,78,62,d982a47bb9692c0645d91586f7141cbc6997aed9af4699e7c1a91ddc11e16d03,b1ce857e305317527459c71a8241d9f63489e9cfca63820a4f7da76a13e1a411,computed_from_release_artifact_bytes,"[""SRC_GSI_OGD_MINERAL_DEPOSIT_CATALOGS_2013""]",India; eight commodity catalogues,2013 catalogues; preview accessed 2026-09-10,"[""latitude_source"",""longitude_source"",""source_latdd"",""source_londd"",""latitude_min"",""latitude_max"",""longitude_min"",""longitude_max"",""representative_latitude"",""representative_longitude"",""coordinate_geometry_type"",""h3_r6"",""centroid_in_source_state_2011_boundary""]","[""preview_coverage_pct""]","[""knowledge_independence_status"",""model_exclusion_reason"",""data_quality_flags_json""]","{""SRC_GSI_OGD_MINERAL_DEPOSIT_CATALOGS_2013"":""Government Open Data License - India; https://www.data.gov.in/godl. Attribute the data provider and data.gov.in. Interactive workbook downloads require a purpose form and CAPTCHA.""}",frozen_for_v1.0-alpha.24,"Any breaking or semantic change requires a new release version, explicit dictionary and schema-hash update, validation, and documented migration note.",scripts/build_gsi_ogd_deposit_preview.py,outputs/gsi_ogd_mineral_deposit_preview_validation.json,"The 20.47% preview is incomplete, non-random, and not knowledge-independent."
india_ibm_abandoned_mine_sites,outputs/india_ibm_abandoned_mine_sites.csv,tabular_csv,v1.0-alpha.24,alpha24-schema-f294cc6dbb8b,observed_source_evidence,"Source-reported observation, event, inventory, sample, catalogue row, or reviewed footprint; not automatically a model label or current-status fact.",context_only_no_coordinates,One IBM abandoned-mine inventory row.,"[""record_id""]",true,0,82,29,f294cc6dbb8b6d498f81ee68d366b1381c0ae3656629f94c3d28940ad2e27b02,56b39dab456dd84047440551a102a8775837a431eebe925f9496a432ce549b66,computed_from_release_artifact_bytes,"[""SRC_IBM_ABANDONED_MINE_SITES""]",Published state and district names; no coordinates,Portal snapshot last updated 2026-09-09,"[""latitude"",""longitude""]",[],"[""published_status"",""published_status_scope"",""current_legal_or_operational_status_verified"",""model_exclusion_reason"",""quality_flags_json""]","{""SRC_IBM_ABANDONED_MINE_SITES"":""Government of India public webpage; retain attribution and verify current IBM website reuse terms.""}",frozen_for_v1.0-alpha.24,"Any breaking or semantic change requires a new release version, explicit dictionary and schema-hash update, validation, and documented migration note.",scripts/build_ibm_abandoned_mines.py,outputs/ibm_abandoned_mines_validation.json,Published abandoned status does not prove current legal or operating status.
india_ibm_auctioned_concession_geometries_2023_24,outputs/india_ibm_auctioned_concession_geometries_2023_24.csv,tabular_csv,v1.0-alpha.24,alpha24-schema-4b4dc7e6749e,observed_source_evidence,"Source-reported observation, event, inventory, sample, catalogue row, or reviewed footprint; not automatically a model label or current-status fact.",context_and_transfer_validation_only,One admitted State Mine Block Summary footprint.,"[""record_id""]",true,0,67,56,4b4dc7e6749e44a1c4a796197e40fd235c183b84dbe494f2eb079ea076971acb,320a8e365f3504c3b12e167808f80a10abf6202dd5f3f0a40fd3ade23bace79e,computed_from_release_artifact_bytes,[],Ten relevant States; 67 admitted footprints,IBM 2023-24 table and reviewed portal documents,"[""boundary_point_ids_json"",""boundary_vertex_count"",""polygon_wkt"",""geometry_crs"",""centroid_latitude"",""centroid_longitude"",""footprint_in_source_state_2011_boundary"",""geometry_quality_flags_json"",""geometry_admission_status"",""geometry_admission_reason""]",[],"[""polygon_valid"",""geometry_quality_flags_json"",""geometry_admission_status"",""geometry_admission_reason"",""current_legal_or_operational_status_verified"",""model_exclusion_reason""]","{""KHANAN_DERIVED"":""Release metadata derived from the versioned public artifacts; upstream source terms remain controlling.""}",frozen_for_v1.0-alpha.24,"Any breaking or semantic change requires a new release version, explicit dictionary and schema-hash update, validation, and documented migration note.",scripts/build_ibm_auction_mbs_geometry_2023_24.py,outputs/ibm_auction_mbs_geometry_validation.json,"Admission verifies geometry consistency, not current operation, title, resource, reserve, or grade."
india_ibm_auctioned_concession_geometries_2023_24,outputs/india_ibm_auctioned_concession_geometries_2023_24.geojson,vector_geojson,v1.0-alpha.24,alpha24-schema-8c8e207e2638,observed_source_evidence,"Source-reported observation, event, inventory, sample, catalogue row, or reviewed footprint; not automatically a model label or current-status fact.",context_and_transfer_validation_only,One admitted State Mine Block Summary polygon feature.,"[""record_id""]",true,0,67,55,8c8e207e26380212c8b6fcfa277ab85af2caad671ee2082eb84babec3cbead03,953c719c3b4b4c981fec04ff8010e24db3ba1b8b098d2137ba69343f8992f248,computed_from_release_artifact_bytes,"[""SRC_IBM_INDIAN_MINERALS_YEARBOOK_2024_CONCESSIONS"",""SRC_MSTC_STATE_MBS_IBM_AUCTIONS_2023_24""]",Ten relevant States; 67 admitted footprints,IBM 2023-24 table and reviewed portal documents,"[""boundary_point_ids_json"",""boundary_vertex_count"",""centroid_latitude"",""centroid_longitude"",""footprint_in_source_state_2011_boundary"",""geometry_quality_flags_json"",""geometry_admission_status"",""geometry_admission_reason"",""geometry_crs""]",[],"[""polygon_valid"",""geometry_quality_flags_json"",""geometry_admission_status"",""geometry_admission_reason"",""current_legal_or_operational_status_verified"",""model_exclusion_reason""]","{""SRC_IBM_INDIAN_MINERALS_YEARBOOK_2024_CONCESSIONS"":""Government of India public PDF; retain attribution and verify current IBM website reuse terms."",""SRC_MSTC_STATE_MBS_IBM_AUCTIONS_2023_24"":""Public government-owned auction portal; retain document-level attribution and verify current portal and State Government reuse terms.""}",frozen_for_v1.0-alpha.24,"Any breaking or semantic change requires a new release version, explicit dictionary and schema-hash update, validation, and documented migration note.",scripts/build_ibm_auction_mbs_geometry_2023_24.py,outputs/ibm_auction_mbs_geometry_validation.json,Polygon admission does not establish legal or operational status.
