record_id,material_name,known_evidence_records_raw,unique_positive_h3_cells,positive_h3_r3_groups,positive_emag_valid_cells,positive_emag_valid_rate,background_cells_sampled,background_emag_valid_rate,spatial_cv_folds,oof_positive_rows,oof_background_rows,baseline_roc_auc,emag_roc_auc,delta_roc_auc,delta_roc_auc_group_bootstrap_ci95_low,delta_roc_auc_group_bootstrap_ci95_high,baseline_average_precision,emag_average_precision,delta_average_precision,baseline_recall_at_background_top5pct,emag_recall_at_background_top5pct,delta_recall_at_background_top5pct,baseline_brier_score,emag_brier_score,folds_with_positive_auc_gain,folds_with_negative_auc_gain,minimum_test_positive_to_training_positive_km,admission_gate_result,emag_feature_admission_decision,decision_reason,production_scoring_status,candidate_scores_recomputed,experiment_version,background_interpretation,baseline_features_json,emag_features_json
EMAG2-ABL-ANTIMONY,Antimony,1,1,1,1,1.00000000,0,,0,0,0,,,,,,,,,,,,,,0,0,,False,not_evaluated_low_support,fewer_than_10_unique_positive_h3_cells,not_admitted_shadow_evaluation_only,False,emag2-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""emag2_upcont_anomaly_nt"",""emag2_upcont_abs_anomaly_nt"",""emag2_upcont_local_mean_nt_3x3"",""emag2_upcont_local_std_nt_3x3"",""emag2_upcont_local_range_nt_3x3"",""emag2_anomaly_robust_z_india_h3"",""emag2_abs_robust_z_india_h3"",""emag2_error_estimate_nt"",""emag2_abs_signal_to_error_ratio"",""emag2_source_ambiguous_or_no_data""]"
EMAG2-ABL-BERYLLIUM,Beryllium,0,0,0,0,,0,,0,0,0,,,,,,,,,,,,,,0,0,,False,not_evaluated_low_support,fewer_than_10_unique_positive_h3_cells,not_admitted_shadow_evaluation_only,False,emag2-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""emag2_upcont_anomaly_nt"",""emag2_upcont_abs_anomaly_nt"",""emag2_upcont_local_mean_nt_3x3"",""emag2_upcont_local_std_nt_3x3"",""emag2_upcont_local_range_nt_3x3"",""emag2_anomaly_robust_z_india_h3"",""emag2_abs_robust_z_india_h3"",""emag2_error_estimate_nt"",""emag2_abs_signal_to_error_ratio"",""emag2_source_ambiguous_or_no_data""]"
EMAG2-ABL-BISMUTH,Bismuth,0,0,0,0,,0,,0,0,0,,,,,,,,,,,,,,0,0,,False,not_evaluated_low_support,fewer_than_10_unique_positive_h3_cells,not_admitted_shadow_evaluation_only,False,emag2-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""emag2_upcont_anomaly_nt"",""emag2_upcont_abs_anomaly_nt"",""emag2_upcont_local_mean_nt_3x3"",""emag2_upcont_local_std_nt_3x3"",""emag2_upcont_local_range_nt_3x3"",""emag2_anomaly_robust_z_india_h3"",""emag2_abs_robust_z_india_h3"",""emag2_error_estimate_nt"",""emag2_abs_signal_to_error_ratio"",""emag2_source_ambiguous_or_no_data""]"
EMAG2-ABL-COBALT,Cobalt,4,4,4,4,1.00000000,0,,0,0,0,,,,,,,,,,,,,,0,0,,False,not_evaluated_low_support,fewer_than_10_unique_positive_h3_cells,not_admitted_shadow_evaluation_only,False,emag2-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""emag2_upcont_anomaly_nt"",""emag2_upcont_abs_anomaly_nt"",""emag2_upcont_local_mean_nt_3x3"",""emag2_upcont_local_std_nt_3x3"",""emag2_upcont_local_range_nt_3x3"",""emag2_anomaly_robust_z_india_h3"",""emag2_abs_robust_z_india_h3"",""emag2_error_estimate_nt"",""emag2_abs_signal_to_error_ratio"",""emag2_source_ambiguous_or_no_data""]"
EMAG2-ABL-COPPER,Copper,174,136,60,136,1.00000000,4080,0.95367647,5,136,4080,0.65911368,0.66215939,0.00304570,-0.00700543,0.01323387,0.06860044,0.07154654,0.00294610,0.11764706,0.11764706,0.00000000,0.08771359,0.08909311,2,3,50.37231942,False,not_admitted_inconclusive_or_below_threshold,one_or_more_predefined_admission_gates_failed,not_admitted_shadow_evaluation_only,False,emag2-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""emag2_upcont_anomaly_nt"",""emag2_upcont_abs_anomaly_nt"",""emag2_upcont_local_mean_nt_3x3"",""emag2_upcont_local_std_nt_3x3"",""emag2_upcont_local_range_nt_3x3"",""emag2_anomaly_robust_z_india_h3"",""emag2_abs_robust_z_india_h3"",""emag2_error_estimate_nt"",""emag2_abs_signal_to_error_ratio"",""emag2_source_ambiguous_or_no_data""]"
EMAG2-ABL-GALLIUM,Gallium,1,1,1,1,1.00000000,0,,0,0,0,,,,,,,,,,,,,,0,0,,False,not_evaluated_low_support,fewer_than_10_unique_positive_h3_cells,not_admitted_shadow_evaluation_only,False,emag2-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""emag2_upcont_anomaly_nt"",""emag2_upcont_abs_anomaly_nt"",""emag2_upcont_local_mean_nt_3x3"",""emag2_upcont_local_std_nt_3x3"",""emag2_upcont_local_range_nt_3x3"",""emag2_anomaly_robust_z_india_h3"",""emag2_abs_robust_z_india_h3"",""emag2_error_estimate_nt"",""emag2_abs_signal_to_error_ratio"",""emag2_source_ambiguous_or_no_data""]"
EMAG2-ABL-GERMANIUM,Germanium,0,0,0,0,,0,,0,0,0,,,,,,,,,,,,,,0,0,,False,not_evaluated_low_support,fewer_than_10_unique_positive_h3_cells,not_admitted_shadow_evaluation_only,False,emag2-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""emag2_upcont_anomaly_nt"",""emag2_upcont_abs_anomaly_nt"",""emag2_upcont_local_mean_nt_3x3"",""emag2_upcont_local_std_nt_3x3"",""emag2_upcont_local_range_nt_3x3"",""emag2_anomaly_robust_z_india_h3"",""emag2_abs_robust_z_india_h3"",""emag2_error_estimate_nt"",""emag2_abs_signal_to_error_ratio"",""emag2_source_ambiguous_or_no_data""]"
EMAG2-ABL-GRAPHITE,Graphite,15,15,12,15,1.00000000,1000,0.95500000,5,15,1000,0.79200000,0.81866667,0.02666667,-0.02039818,0.08616295,0.13327860,0.14656646,0.01328786,0.60000000,0.53333333,-0.06666667,0.07447133,0.07931457,2,3,52.83797544,False,not_admitted_inconclusive_or_below_threshold,one_or_more_predefined_admission_gates_failed,not_admitted_shadow_evaluation_only,False,emag2-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""emag2_upcont_anomaly_nt"",""emag2_upcont_abs_anomaly_nt"",""emag2_upcont_local_mean_nt_3x3"",""emag2_upcont_local_std_nt_3x3"",""emag2_upcont_local_range_nt_3x3"",""emag2_anomaly_robust_z_india_h3"",""emag2_abs_robust_z_india_h3"",""emag2_error_estimate_nt"",""emag2_abs_signal_to_error_ratio"",""emag2_source_ambiguous_or_no_data""]"
EMAG2-ABL-HAFNIUM,Hafnium,0,0,0,0,,0,,0,0,0,,,,,,,,,,,,,,0,0,,False,not_evaluated_low_support,fewer_than_10_unique_positive_h3_cells,not_admitted_shadow_evaluation_only,False,emag2-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""emag2_upcont_anomaly_nt"",""emag2_upcont_abs_anomaly_nt"",""emag2_upcont_local_mean_nt_3x3"",""emag2_upcont_local_std_nt_3x3"",""emag2_upcont_local_range_nt_3x3"",""emag2_anomaly_robust_z_india_h3"",""emag2_abs_robust_z_india_h3"",""emag2_error_estimate_nt"",""emag2_abs_signal_to_error_ratio"",""emag2_source_ambiguous_or_no_data""]"
EMAG2-ABL-INDIUM,Indium,0,0,0,0,,0,,0,0,0,,,,,,,,,,,,,,0,0,,False,not_evaluated_low_support,fewer_than_10_unique_positive_h3_cells,not_admitted_shadow_evaluation_only,False,emag2-spatial-ablation-v0.1,Pseudo-absence cells are not confirmed barren and metrics do not estimate discovery probability.,"[""elevation_m"",""slope_degrees_approx"",""local_relief_m_approx"",""temperature_mean_c_rolling_12m"",""precipitation_total_mm_rolling_12m"",""relative_humidity_mean_pct_rolling_12m"",""wind_speed_2m_mean_m_s_rolling_12m"",""fold_safe_log1p_distance_to_training_positive_km"",""fold_safe_log1p_training_positive_count_100km"",""fold_safe_training_positive_geology_affinity""]","[""emag2_upcont_anomaly_nt"",""emag2_upcont_abs_anomaly_nt"",""emag2_upcont_local_mean_nt_3x3"",""emag2_upcont_local_std_nt_3x3"",""emag2_upcont_local_range_nt_3x3"",""emag2_anomaly_robust_z_india_h3"",""emag2_abs_robust_z_india_h3"",""emag2_error_estimate_nt"",""emag2_abs_signal_to_error_ratio"",""emag2_source_ambiguous_or_no_data""]"
