gap_id,gap_level,gap_categories_json,evidence_family,affected_source_id,affected_artifacts_json,geographic_scope,temporal_scope,gap_description,quantitative_evidence,scientific_or_operational_impact,current_mitigation,resolution_evidence_required,model_effect,alpha3_completion_effect,status,provenance_basis
GAP-PROJECT-001,project_wide,"[""material_coverage"",""model_support""]",material ontology and prediction eligibility,,"[""india_material_ontology_v1.csv"",""india_strategic_materials_top50.csv"",""material_model_support.csv""]",India,Alpha.24 snapshot,Ontology coverage is much broader than prediction eligibility and validated scoring support.,254 ontology entities; 50 model targets; 34 with MRDS evidence; 20 with percentiles; 15 spatially validated; 14 passing minimum holdout AUC.,Most catalogued materials cannot receive defensible rankings.,Unsupported materials remain explicitly unscored.,Independent coordinate-bearing positives and deposit-type labels sufficient for spatial holdout.,No automatic score is created from ontology membership.,must_remain_disclosed_in_final_coverage_audit,open_scope_limitation,outputs/validation_report.json and outputs/material_ontology_validation_v1.json
GAP-PROJECT-002,project_wide,"[""known_site_completeness"",""coordinate_quality""]",known sites,,"[""india_known_mining_sites.csv""]",India selection,Mixed historical MRDS dates,The primary coordinate-bearing known-site layer is not an exhaustive or current statutory mine register.,781 records; 779 within expected India bounds; two retained out-of-bounds source coordinates.,Label incompleteness and positional error can bias training and evaluation.,"Source quality codes, raw coordinates, bounds flags, and limitations remain published.","Authoritative, reusable national mine/occurrence register with dated status and coordinate accuracy.",Model training uses these points with spatial holdout but cannot correct missing positives.,must_remain_disclosed_in_final_coverage_audit,open_scope_limitation,outputs/validation_report.json
GAP-PROJECT-003,project_wide,"[""legal_status"",""operating_status"",""identity_resolution""]",mine and concession status,,"[""india_ibm_mcdr_latest_inspected_mines.csv"",""india_ibm_abandoned_mine_sites.csv"",""india_ibm_auctioned_mineral_concessions_2023_24.csv""]",India; published administrative geography,2023-24 to 2026 snapshots,"KHANAN does not have a controlling nationwide current operating, title, clearance, suspension, or closure register linked to exact geometries.","1,353 latest inspected identities; 82 abandoned-mine rows; 97 IBM auction rows; zero rows asserted as currently legally or operationally verified.",No operational recommendation or current-status claim can be made.,Event types and dates remain separate; unverified current status is explicit.,"Dated controlling lease, clearance, production, suspension, and closure sources joined by stable mine/lease identifiers.",Status-context rows are excluded from spatial scoring.,must_remain_disclosed_in_final_coverage_audit,open_scope_limitation,source registry and per-layer validations
GAP-PROJECT-004,project_wide,"[""geochemistry"",""spatial_coverage"",""sampling_design""]",analytical geochemistry,,"[""india_earthchem_geochemical_samples.csv"",""india_earthchem_geochemical_observations.csv""]",Two western-Assam sites,One published 2026 dataset,Redistributable coordinate-bearing analytical geochemistry is extremely sparse and targeted.,"13 samples, two coordinate sites, and 1,323 observations.",The layer cannot validate national anomalies or regional grade continuity.,It remains independent context outside training and validation.,"Systematic India-wide measurements with method, detection limit, medium, depth, uncertainty, and reusable coordinates.",No score or candidate rank changes.,must_remain_disclosed_in_final_coverage_audit,open_scope_limitation,outputs/earthchem_geochemical_validation.json
GAP-PROJECT-005,project_wide,"[""source_access"",""licensing"",""method_metadata""]",NGDR/GSI geoscience services,,"[""ngdr_service_inventory.csv""]",Nominal national coverage,Guest-service snapshot 2026-09-09,NGDR feature values are not redistributed because dataset-specific reuse authority and essential unit/method metadata are unresolved.,"1,114 WMS layers; 751 WFS types; 11 audited relevant layers; 2,459,737 reported features; zero feature-value rows published.","High-value Indian geochemistry, geophysics, lithology, soil, and structural evidence remains unavailable to the model.","Only catalog metadata, schemas, endpoints, and exclusions are published.","Dataset-specific written reuse basis plus complete coordinate, unit, analytical-method, scale, and missingness metadata.",NGDR values remain excluded from model training and scoring.,must_remain_disclosed_in_final_coverage_audit,open_scope_limitation,outputs/ngdr_service_validation.json
GAP-PROJECT-006,project_wide,"[""source_access"",""catalog_completeness""]",historical GSI/OGD deposit catalogues,,"[""gsi_ogd_mineral_deposit_catalog_audit.csv"",""india_gsi_ogd_mineral_deposit_preview.csv""]",India; eight mineral catalogues,2013 catalogues; accessed 2026-09-10,Interactive CAPTCHA-gated downloads prevented acquisition of complete historical catalogues.,78 preview rows of 381 reported rows (20.47%); 303 rows not exposed.,The public preview is incomplete and non-random.,"All preview rows retain selection mechanism, completeness status, and model exclusion.",Lawful full-workbook access or an official bulk endpoint with stable identifiers and licence metadata.,"Preview rows remain excluded from training, validation, and scoring.",must_remain_disclosed_in_final_coverage_audit,open_scope_limitation,outputs/gsi_ogd_mineral_deposit_preview_validation.json
GAP-PROJECT-007,project_wide,"[""geophysics"",""resolution"",""coverage""]",magnetic context,,"[""india_emag2v3_magnetic_features_h3_r6.csv"",""material_emag2_spatial_ablation.csv""]",National H3 grid,Static EMAG2v3 snapshot,"The available open magnetic layer is regional, upward-continued, and incomplete over some cells.","95.31% valid anomaly coverage; 92.78% valid error coverage; 6,418 ambiguous/no-data source-code cells; zero materials admitted after ablation.",It cannot resolve local targets and does not demonstrate out-of-region incremental value.,"Error, source-code, distance, coverage, and ablation fields remain explicit.","Higher-resolution lawful magnetic, gravity, radiometric, and structural data with independent labels.",EMAG2 remains excluded from production scoring.,must_remain_disclosed_in_final_coverage_audit,open_scope_limitation,outputs/emag2v3_magnetic_features_validation.json and outputs/emag2_spatial_ablation_validation.json
GAP-PROJECT-008,project_wide,"[""soil"",""measurement_basis"",""validation""]",soil context,,"[""india_soilgrids_v2_soil_features_h3_r6.csv"",""material_soilgrids_spatial_ablation.csv""]",National H3 grid,SoilGrids 2.0 snapshot,SoilGrids values are global model predictions rather than India-specific measured regolith or geochemical assays.,Nine properties at two depths with p05/p95; minimum coverage 99.28%; zero materials admitted after ablation.,Modeled soil context cannot substantiate subsurface mineralization.,Prediction intervals and model exclusion are preserved.,"Reusable India-specific measured soil/regolith observations with analytical method, depth, and spatially independent validation.",SoilGrids remains excluded from production scoring.,must_remain_disclosed_in_final_coverage_audit,open_scope_limitation,outputs/soilgrids_v2_soil_features_validation.json and outputs/soilgrids_spatial_ablation_validation.json
GAP-PROJECT-009,project_wide,"[""remote_sensing"",""temporal_coverage"",""leakage""]",Sentinel-2 surface context,,"[""india_sentinel2_surface_context_h3_r6.csv"",""material_sentinel2_spatial_ablation.csv""]",National H3 grid,Two fixed 2025 seasons,Two-season multispectral surface proxies are non-specific and may encode mining disturbance that occurred after a deposit was already known.,950 scenes; 98.96% of cells with any clear-land observation; 84.25% with two-season bare support; zero materials admitted.,Surface signals cannot be interpreted as mineral identification or knowledge-independent prediction.,"Native SCL masking, coverage, support, leakage guardrail, and ablation decisions are published.","Time-safe pre-discovery imagery, hyperspectral evidence, deposit-type mechanisms, and independent transfer validation.",Sentinel features remain excluded from v0.6 scoring.,must_remain_disclosed_in_final_coverage_audit,open_scope_limitation,outputs/sentinel2_surface_context_validation.json and outputs/sentinel2_spatial_ablation_validation.json
GAP-PROJECT-010,project_wide,"[""independent_validation"",""label_independence""]",official-block transfer,,"[""material_official_block_transfer_validation.csv"",""official_block_transfer_observations.csv""]",166 accepted official footprints,Auction source snapshots through Alpha.20,Official target selection is not proven independent of all historical geological knowledge and no material passes every production-admission gate.,151 target-mapped footprints; 221 material observations; 12 evaluated materials; zero production admissions.,Transfer performance cannot establish discovery probability or unbiased future performance.,Results are validation-only and preserve uncertainty intervals and support gates.,Genuinely knowledge-independent confirmed positives or time-split future outcomes.,"No candidate scores, classes, or ranks changed.",must_remain_disclosed_in_final_coverage_audit,open_scope_limitation,outputs/official_block_transfer_validation.json
